WKT;FID
"POINT (116.253053 39.978453)";0
"POINT (116.30779 39.982095)";1
"POINT (116.252035 39.977835)";2
"POINT (116.252035 39.977835)";3
"POINT (116.267953 39.966355)";4
"POINT (116.268018 39.96548)";5
"POINT (116.269133 39.96488)";6
"POINT (116.269133 39.96488)";7
"POINT (116.307345 39.982788)";8
"POINT (116.309718 39.980712)";9
"POINT (116.30811 39.980232)";10
"POINT (116.309973 39.980592)";11
"POINT (116.309973 39.980592)";12
"POINT (116.338172 39.985222)";13
"POINT (116.338172 39.985222)";14
"POINT (116.35055 39.98566)";15
"POINT (116.35055 39.98566)";16
"POINT (116.36385 39.985967)";17
"POINT (116.372398 39.98479)";18
"POINT (116.372398 39.98479)";19
"POINT (116.375083 39.976008)";20
"POINT (116.375083 39.976008)";21
"POINT (116.37404 39.96617)";22
"POINT (116.372502 39.95914)";23
"POINT (116.371632 39.958925)";24
"POINT (116.37064 39.957217)";25
"POINT (116.370778 39.956623)";26
"POINT (116.371147 39.957275)";27
"POINT (116.370642 39.955937)";28
"POINT (116.371722 39.958425)";29
"POINT (116.37285 39.959647)";30
"POINT (116.373068 39.956827)";31
"POINT (116.373068 39.956827)";32
"POINT (116.374535 39.966228)";33
"POINT (116.375015 39.967237)";34
"POINT (116.375837 39.967018)";35
"POINT (116.372967 39.96691)";36
"POINT (116.373928 39.965985)";37
"POINT (116.37346 39.96305)";38
"POINT (116.37317 39.957497)";39
"POINT (116.37317 39.957497)";40
"POINT (116.37438 39.967033)";41
"POINT (116.37438 39.967033)";42
"POINT (116.375078 39.97632)";43
"POINT (116.374153 39.980738)";44
"POINT (116.379948 39.981028)";45
"POINT (116.38063 39.982008)";46
"POINT (116.380448 39.982673)";47
"POINT (116.381262 39.982025)";48
"POINT (116.37406 39.980878)";49
"POINT (116.372478 39.98732)";50
"POINT (116.373268 39.986743)";51
"POINT (116.373268 39.986743)";52
"POINT (116.361178 39.986363)";53
"POINT (116.361178 39.986363)";54
"POINT (116.347847 39.98574)";55
"POINT (116.347847 39.98574)";56
"POINT (116.335992 39.985367)";57
"POINT (116.335992 39.985367)";58
