WKT;FROM;TO;COUNT
"LINESTRING (116.4378966 39.9629636,116.4378966 39.9629636)";53;53;578
"LINESTRING (117.9345 39.182577,117.9345 39.182577)";454;454;2
"LINESTRING (116.419207521739 39.8560874347826,116.405067885714 39.8557572571429)";478;119;7
"LINESTRING (116.522949833333 39.9625491666667,116.512662 39.976305)";530;531;1
"LINESTRING (116.773448666667 35.8059736666667,116.781497333333 35.7952636666667)";288;287;1
"LINESTRING (116.134768 40.371385,116.134768 40.371385)";245;245;1
"LINESTRING (116.679277 36.96865,116.685583 36.958608)";336;337;1
"LINESTRING (117.915877 39.288918,117.929852 39.285685)";468;469;1
"LINESTRING (116.481234846154 39.9545927692308,116.4689685 39.948495)";217;280;1
"LINESTRING (116.308971958333 39.7898448333333,116.308971958333 39.7898448333333)";570;570;672
"LINESTRING (116.805707 36.781842,116.814278 36.77394)";356;357;1
"LINESTRING (116.429208815217 39.9228586847826,116.429208815217 39.9228586847826)";66;66;2308
"LINESTRING (116.668696571429 39.971236,116.668696571429 39.971236)";513;513;76
"LINESTRING (116.46346 37.666703,116.460788 37.655652)";112;113;1
"LINESTRING (116.103814 40.01518925,116.099678 40.024658)";541;542;1
"LINESTRING (116.2744474 39.9559708,116.28868 39.958520875)";585;41;1
"LINESTRING (116.268546022727 39.9471546363636,116.267746014286 39.9566036285714)";180;256;16
"LINESTRING (116.551232590909 40.0767693636364,116.551232590909 40.0767693636364)";83;83;224
"LINESTRING (116.536721 39.9728853333333,116.522949833333 39.9625491666667)";529;530;1
"LINESTRING (116.510288 40.072625,116.5164156 40.0897942)";552;553;1
"LINESTRING (116.304177793103 39.9314820344828,116.303682 39.9186235588235)";92;158;2
"LINESTRING (116.647203 37.02889,116.647203 37.02889)";330;330;2
"LINESTRING (116.34914044898 39.8526038095238,116.37766391954 39.8543189770115)";61;63;1
"LINESTRING (116.322367820513 39.9843652564103,116.322367820513 39.9843652564103)";9;9;982
"LINESTRING (116.176193 40.220602,116.171477 40.229877)";237;238;1
"LINESTRING (116.6415775 39.905884,116.65168925 39.90385325)";494;495;2
"LINESTRING (116.240737 40.05784,116.240737 40.05784)";225;225;20
"LINESTRING (116.753838 36.854042,116.753838 36.854042)";348;348;3
"LINESTRING (116.42667985 39.946457125,116.42667985 39.946457125)";13;13;952
