WKT;GROUP
"POINT (116.254102591054 39.979973798722)";0
"POINT (116.309084690307 39.9790180756501)";1
"POINT (116.268918876133 39.9658666676737)";2
"POINT (116.335507025 39.98512485)";3
"POINT (116.347181411111 39.9847288666667)";4
"POINT (116.373689387097 39.9850789032258)";5
"POINT (116.373124736842 39.9677681578947)";6
"POINT (116.372127275862 39.9582460689655)";7
"POINT (116.360963042553 39.9858189787234)";8
"POINT (116.322367820513 39.9843652564103)";9
"POINT (116.231172625 39.988906625)";10
"POINT (116.401678728571 39.9476186142857)";11
"POINT (116.414287464286 39.9478471190476)";12
"POINT (116.42667985 39.946457125)";13
"POINT (116.426942714286 39.9229947857143)";14
"POINT (116.427615962264 39.9090440943396)";15
"POINT (116.440002207547 39.9220893773585)";16
"POINT (116.435070523809 39.8933174761905)";17
"POINT (116.453651191011 39.8857899101124)";18
"POINT (116.4551811 39.8716443)";19
"POINT (116.454895675325 39.9067917662338)";20
"POINT (116.444242058824 39.9083433529412)";21
"POINT (116.427119769231 39.9349231153846)";22
"POINT (116.388641 39.9495479574468)";23
"POINT (116.388925102941 39.9672222205882)";24
"POINT (116.351158732143 39.9664790446429)";25
"POINT (116.339034197802 39.9664637692308)";26
"POINT (116.327437847619 39.9666978380952)";27
"POINT (116.315318166667 39.965145625)";28
"POINT (116.399665387755 39.9869133265306)";29
"POINT (116.386213394737 39.9866306315789)";30
"POINT (116.298414461538 39.9835601025641)";31
"POINT (116.28624211236 39.9804746741573)";32
"POINT (116.277861505618 39.9736143146067)";33
"POINT (116.268591166667 39.943516)";34
"POINT (116.268908093023 39.9254848488372)";35
"POINT (116.2789917 39.9250884)";36
"POINT (116.290449875 39.91392175)";37
"POINT (116.292279166667 39.9242433333333)";38
"POINT (116.28738368 39.93202304)";39
"POINT (116.28632975 39.9475295)";40
"POINT (116.28868 39.958520875)";41
"POINT (116.41318776 39.98786228)";42
"POINT (116.426072125 39.98778325)";43
"POINT (116.438864682927 39.9857672195122)";44
"POINT (116.449548775 39.980409425)";45
"POINT (116.46121468 39.97080078)";46
"POINT (116.470779227273 39.9656509545455)";47
"POINT (116.455753485714 39.952497)";48
"POINT (116.415306 39.9138635)";49
"POINT (116.455579614035 39.9288034210526)";50
"POINT (116.456198229167 39.9416057291667)";51
"POINT (116.4470478 39.956869075)";52
"POINT (116.4378966 39.9629636)";53
"POINT (116.427469941176 39.9686446470588)";54
"POINT (116.415438533333 39.9635857111111)";55
"POINT (116.40101 39.9647426184211)";56
"POINT (116.486167 40.018612)";57
"POINT (116.465008857143 40.0007138571429)";58
"POINT (116.471724909091 40.0116418181818)";59
"POINT (116.412262 39.924675)";60
"POINT (116.34914044898 39.8526038095238)";61
"POINT (116.359745780488 39.8439561219512)";62
"POINT (116.37766391954 39.8543189770115)";63
"POINT (116.362986122807 39.8536364210526)";64
"POINT (116.308754397059 39.9842966617647)";65
"POINT (116.429208815217 39.9228586847826)";66
"POINT (116.37505 39.94836856)";67
"POINT (116.447456473684 40.0015087894737)";68
"POINT (116.4636992 40.0197524)";69
"POINT (116.475244 40.0206293333333)";70
"POINT (116.500330727273 40.0231155454546)";71
"POINT (116.519682666667 40.0272502727273)";72
"POINT (116.461338818182 40.0113193636364)";73
"POINT (116.4709776 39.9784937)";74
"POINT (116.4786758 39.9848222)";75
"POINT (116.486598333333 39.9909226666667)";76
"POINT (116.493445545455 40.0009175454545)";77
"POINT (116.5031908 40.0074897333333)";78
"POINT (116.511297555556 40.015485)";79
"POINT (116.529056433333 40.0434708)";80
"POINT (116.537806944444 40.0552128333333)";81
"POINT (116.5476484375 40.0627369375)";82
"POINT (116.551232590909 40.0767693636364)";83
"POINT (116.551833931034 40.0937027241379)";84
"POINT (116.48326575 40.00877525)";85
"POINT (116.448875272727 40.0160478181818)";86
"POINT (116.326499935484 39.9939092580645)";87
"POINT (116.335557823529 39.9451004117647)";88
"POINT (116.337014052632 39.9299811052632)";89
"POINT (116.325804535714 39.9260515357143)";90
"POINT (116.3188402 39.9320189)";91
"POINT (116.304177793103 39.9314820344828)";92
"POINT (116.304278388889 39.9472257222222)";93
"POINT (116.302449958333 39.9607090833333)";94
"POINT (116.776139375 35.8054900625)";95
"POINT (116.257807768421 39.9708023789474)";96
"POINT (116.353173428571 40.0085871428571)";97
"POINT (116.350145428571 40.020494)";98
"POINT (116.442462272727 39.932975)";99
"POINT (116.534927 37.772897)";100
"POINT (116.390376 37.340829)";101
"POINT (116.531507 37.763097)";102
"POINT (116.527297 37.752565)";103
"POINT (116.520738 37.742547)";104
"POINT (116.512337 37.733385)";105
"POINT (116.503598 37.7243)";106
"POINT (116.49426 37.71558)";107
"POINT (116.48481 37.70824)";108
"POINT (116.476232 37.699765)";109
"POINT (116.469517 37.689237)";110
"POINT (116.46592 37.677848)";111
"POINT (116.46346 37.666703)";112
"POINT (116.460788 37.655652)";113
"POINT (116.455547 37.645052)";114
"POINT (116.447647 37.635557)";115
"POINT (116.4388 37.61466)";116
"POINT (116.302709818182 39.8383015454545)";117
"POINT (116.388240929825 39.8548687719298)";118
"POINT (116.405067885714 39.8557572571429)";119
"POINT (116.415743490909 39.8636931090909)";120
"POINT (116.337081 39.849748625)";121
"POINT (116.32441775 39.8460185)";122
"POINT (116.37661246988 39.9682206024096)";123
"POINT (116.364468233333 39.9668944666667)";124
"POINT (116.348788521739 39.9547022173913)";125
"POINT (116.349886242424 39.9425621818182)";126
"POINT (116.348889108108 39.9241877567568)";127
"POINT (116.351273485714 39.9058961428571)";128
"POINT (116.317260461538 39.9472980769231)";129
"POINT (116.361213666667 39.918166)";130
"POINT (116.2976265 39.9970875)";131
"POINT (116.28382908 39.99714532)";132
"POINT (116.270575666667 39.9959782222222)";133
"POINT (116.278396785714 40.0169982142857)";134
"POINT (116.289481 40.0279941333333)";135
"POINT (116.284396933333 40.0401374)";136
"POINT (116.279835333333 40.03271)";137
"POINT (116.267970666667 40.0269006666667)";138
"POINT (116.25913525 40.03737575)";139
"POINT (116.252317 40.0455)";140
"POINT (116.250259272727 40.0484632727273)";141
"POINT (116.240966214286 40.0692335714286)";142
"POINT (116.2321372 40.0706304)";143
"POINT (116.2653435 40.0478975)";144
"POINT (116.27833475 40.0503854166667)";145
"POINT (116.2972052 40.0159648)";146
"POINT (116.310492363636 40.0161591515151)";147
"POINT (116.3260368 40.0103684)";148
"POINT (116.415907857143 39.8442442857143)";149
"POINT (116.40826 39.830037)";150
"POINT (116.432392 39.8641791486487)";151
"POINT (116.442877410256 39.8754710512821)";152
"POINT (116.355387363636 39.890325)";153
"POINT (116.342911107143 39.8889555357143)";154
"POINT (116.329107826087 39.8951490434783)";155
"POINT (116.316090222222 39.8968718888889)";156
"POINT (116.303877285714 39.9010203265306)";157
"POINT (116.303682 39.9186235588235)";158
"POINT (116.305990529412 40.0303576470588)";159
"POINT (116.297456214286 40.0464142142857)";160
"POINT (116.311132111111 40.0047538148148)";161
"POINT (116.255477 39.9230275)";162
"POINT (116.2447725 39.928699375)";163
"POINT (116.23118 39.923834)";164
"POINT (116.219081 39.9235045)";165
"POINT (116.205506 39.9231394)";166
"POINT (116.192825 39.921759875)";167
"POINT (116.268289040404 39.910758979798)";168
"POINT (116.267997064516 39.895006172043)";169
"POINT (116.270246527473 39.8791411208791)";170
"POINT (116.276364261905 39.863533)";171
"POINT (116.277426333333 39.8496965882353)";172
"POINT (116.279995744681 39.8392355106383)";173
"POINT (116.284404550562 39.8262855617977)";174
"POINT (116.284235030769 39.8078846307692)";175
"POINT (116.284803565789 39.7952446578947)";176
"POINT (116.19308 39.9750115)";177
